Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
2010-08-23,0.295239,0.474339,0.741384,1.09725,1.45323,1.77634,2.04341,2.26987,2.47571,2.65694
2010-08-24,0.29315,0.469756,0.702031,1.02612,1.37017,1.68941,1.95286,2.17746,2.37599,2.55595
2010-08-25,0.304093,0.503004,0.75441,1.0822,1.42647,1.74856,2.01489,2.23097,2.42155,2.59487
2010-08-26,0.307446,0.499092,0.74782,1.0631,1.39878,1.71642,1.97666,2.19231,2.38338,2.55502
2010-08-27,0.32196,0.551472,0.82868,1.17782,1.51846,1.84048,2.11186,2.33877,2.53627,2.71174
2010-08-30,0.300949,0.479556,0.744229,1.07902,1.41573,1.73252,1.99824,2.22617,2.43162,2.6061
2010-08-31,0.304552,0.468066,0.710651,1.02939,1.36191,1.68116,1.94669,2.1728,2.3671,2.53845
2010-09-01,-0.494268,0.395246,0.757946,1.10007,1.41879,1.77832,2.04738,2.26098,2.46903,2.65183
2010-09-02,-0.487556,0.410607,0.765839,1.11028,1.43819,1.81337,2.08333,2.3035,2.51486,2.7003
2010-09-03,-0.303372,0.461038,0.812268,1.16826,1.50559,1.87682,2.15182,2.37702,2.59149,2.77422
2010-09-07,-0.372891,0.446323,0.75705,1.09611,1.42608,1.78877,2.05271,2.28442,2.49959,2.68201
2010-09-08,-0.277856,0.463776,0.795136,1.13886,1.47504,1.83957,2.10724,2.32627,2.53809,2.72403
2010-09-09,-0.151619,0.532507,0.867844,1.24301,1.5891,1.94901,2.2096,2.43183,2.64655,2.8323
2010-09-10,-0.125181,0.538924,0.879507,1.26654,1.6118,1.9742,2.24366,2.46876,2.68114,2.86708
2010-09-13,-0.177628,0.4836,0.822744,1.18902,1.53451,1.90383,2.17786,2.40941,2.62819,2.81275
2010-09-14,-0.193985,0.442387,0.769033,1.116,1.4577,1.82502,2.10809,2.34199,2.55298,2.73791
2010-09-15,-0.276559,0.405036,0.758343,1.12475,1.47845,1.85521,2.15048,2.38937,2.60603,2.79487
2010-09-16,-0.327084,0.378525,0.768214,1.14545,1.49897,1.88752,2.18482,2.42517,2.64192,2.83182
2010-09-17,-0.307347,0.372962,0.748746,1.12847,1.48388,1.86014,2.15791,2.40728,2.63015,2.82307
2010-09-20,-0.207345,0.3913,0.742519,1.10586,1.4566,1.82271,2.11998,2.37263,2.59721,2.78471
2010-09-21,-0.016168,0.382756,0.663502,1.00065,1.34984,1.69824,1.99222,2.25792,2.48344,2.67256
2010-09-22,-0.334563,0.327707,0.680628,1.01385,1.35356,1.69057,1.97403,2.22023,2.44283,2.63524
2010-09-23,-0.412148,0.305833,0.681514,1.02521,1.36333,1.70197,1.97425,2.22208,2.44926,2.64216
2010-09-24,-0.343008,0.333293,0.703204,1.05653,1.39487,1.74016,2.02292,2.27294,2.50179,2.70033
2010-09-27,-0.379385,0.311609,0.667622,0.990452,1.32223,1.65497,1.92919,2.18116,2.41489,2.6096
2010-09-28,-0.258017,0.339219,0.641827,0.938532,1.26742,1.58916,1.86501,2.12408,2.35545,2.55062
2010-09-29,-0.098355,0.391005,0.667336,0.975819,1.29921,1.62991,1.90787,2.16388,2.39813,2.59664
2010-09-30,0.114994,0.399653,0.650407,0.967819,1.29167,1.63799,1.91852,2.17469,2.40963,2.60786
2010-10-01,0.111989,0.391369,0.644846,0.964488,1.28685,1.6259,1.91458,2.17697,2.41432,2.61595
2010-10-04,0.145261,0.396613,0.615277,0.924664,1.24287,1.57817,1.86592,2.13138,2.374,2.57352
2010-10-05,0.17975,0.402684,0.603633,0.904108,1.22094,1.55398,1.8438,2.1198,2.36572,2.57336
2010-10-06,0.104299,0.377613,0.572276,0.868609,1.18279,1.5067,1.79092,2.0499,2.2909,2.50001
2010-10-07,0.161837,0.363292,0.54197,0.852478,1.16128,1.49912,1.78165,2.03653,2.27863,2.49375
2010-10-08,0.165997,0.348108,0.530473,0.826886,1.13039,1.46879,1.76003,2.01949,2.26818,2.48434
2010-10-12,0.323939,0.401148,0.567719,0.861611,1.16207,1.49828,1.78912,2.05351,2.30229,2.52183
2010-10-13,0.120535,0.370781,0.555008,0.840186,1.14638,1.48662,1.7816,2.05084,2.30758,2.53364
2010-10-14,0.274073,0.416912,0.589378,0.890107,1.2025,1.55362,1.84974,2.11425,2.36834,2.5981
2010-10-15,0.346768,0.406994,0.576349,0.899131,1.21983,1.58856,1.91229,2.19237,2.44926,2.68105
2010-10-18,0.217566,0.359807,0.547212,0.836861,1.14915,1.50653,1.82694,2.1067,2.36501,2.59407
2010-10-19,0.230423,0.349188,0.52901,0.814225,1.12622,1.48781,1.81253,2.09002,2.34131,2.5739
2010-10-20,0.367646,0.348262,0.506335,0.806256,1.12292,1.48181,1.81225,2.0897,2.34049,2.56946
2010-10-21,0.426769,0.36601,0.517527,0.834593,1.15969,1.53696,1.86804,2.14676,2.39964,2.62865
2010-10-22,0.376871,0.362215,0.525797,0.854201,1.18485,1.56384,1.8998,2.17781,2.42753,2.6548
2010-10-25,0.478842,0.374633,0.533397,0.878299,1.20806,1.57394,1.89851,2.16898,2.41588,2.63557
2010-10-26,0.516278,0.414387,0.591307,0.951393,1.28637,1.66401,1.9932,2.26389,2.50444,2.72361
2010-10-27,0.547742,0.444021,0.621687,0.99907,1.34449,1.72961,2.06898,2.3373,2.57837,2.79567
2010-10-28,0.442739,0.37219,0.548758,0.907458,1.24849,1.64442,1.98871,2.27404,2.52867,2.75423
2010-10-29,0.518345,0.340719,0.500391,0.853981,1.19159,1.57973,1.92904,2.2204,2.47688,2.70602
2010-11-01,0.515167,0.33867,0.494136,0.834034,1.17779,1.57034,1.92745,2.22833,2.49391,2.72397
2010-11-02,0.402356,0.331986,0.501672,0.827574,1.16671,1.54629,1.89873,2.19687,2.45583,2.68603
2010-11-03,0.343398,0.313638,0.485145,0.798627,1.13976,1.52514,1.89733,2.20022,2.47226,2.72104
2010-11-04,0.120077,0.269422,0.443278,0.728477,1.04341,1.40396,1.7496,2.04541,2.32529,2.5843
2010-11-05,0.188013,0.338286,0.523909,0.802598,1.10895,1.44914,1.79132,2.08601,2.36351,2.62715
2010-11-08,0.130351,0.363659,0.563027,0.839287,1.14453,1.46978,1.80265,2.09976,2.38503,2.64425
2010-11-09,0.153653,0.427886,0.638322,0.957505,1.27163,1.58665,1.90915,2.2033,2.47985,2.74112
2010-11-10,0.151261,0.398563,0.62056,0.912516,1.21916,1.53386,1.85769,2.15497,2.42595,2.67321
2010-11-12,0.296474,0.50979,0.727783,1.05079,1.36087,1.67107,1.9933,2.27891,2.53724,2.77506
2010-11-15,0.353634,0.570015,0.805225,1.17822,1.50835,1.83484,2.15649,2.43964,2.69896,2.92806
2010-11-16,0.345574,0.548735,0.785429,1.15188,1.48154,1.80192,2.12081,2.39342,2.6354,2.8576
2010-11-17,0.388577,0.516239,0.748579,1.13538,1.47934,1.8211,2.15152,2.4212,2.66041,2.88099
2010-11-18,0.494784,0.520543,0.759128,1.1554,1.51404,1.87684,2.20474,2.46876,2.70159,2.91795
2010-11-19,0.489737,0.533493,0.775612,1.17832,1.53656,1.88079,2.20162,2.45945,2.68151,2.89103
2010-11-22,0.314985,0.456674,0.725416,1.10549,1.45845,1.80605,2.12961,2.38889,2.6215,2.83123
2010-11-23,0.148159,0.401543,0.686072,1.05978,1.41587,1.76995,2.08646,2.34578,2.5709,2.78003
2010-11-24,0.2629,0.494152,0.794854,1.18782,1.55762,1.92983,2.24559,2.49495,2.71801,2.92798
2010-11-26,0.244885,0.47327,0.776605,1.16179,1.52602,1.89017,2.20242,2.44884,2.66912,2.87737
2010-11-29,0.241237,0.464719,0.761249,1.13531,1.49611,1.85725,2.16927,2.41585,2.6373,2.83943
2010-11-30,0.270576,0.431697,0.711877,1.09565,1.46697,1.83018,2.14636,2.39819,2.61657,2.81874
2010-12-01,0.363451,0.521099,0.824518,1.24108,1.62422,1.99514,2.31289,2.55957,2.77791,2.98032
2010-12-02,0.404657,0.550337,0.858892,1.28166,1.67735,2.05755,2.36639,2.60447,2.81584,3.01195
2010-12-03,0.527029,0.491864,0.799198,1.233,1.63235,2.02659,2.34659,2.60222,2.82755,3.03304
2010-12-06,0.415244,0.411885,0.722885,1.13373,1.53028,1.93573,2.26443,2.53039,2.76064,2.95945
